date,event_type,source_note
2012-07-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-08-01,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-08-02,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-08-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-09-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-09-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-09-13,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-10-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-10-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-10-24,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2012-11-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-11-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-12-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2012-12-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2012-12-12,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-01-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-01-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-01-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-02-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-02-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-03-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-03-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-03-20,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-04-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-04-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-05-01,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-05-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-05-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-06-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-06-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-06-19,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-07-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-07-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-07-31,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-08-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-09-01,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-09-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-09-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-09-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-10-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-10-22,nfp,"US Non-Farm Payrolls -- delayed by the Oct 2013 government shutdown (verified bls.gov/bls/news-release/empsit.htm), not the standard first-Friday date"
2013-10-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2013-11-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-11-08,nfp,"US Non-Farm Payrolls -- delayed by the Oct 2013 government shutdown (verified bls.gov/bls/news-release/empsit.htm), not the standard first-Friday date"
2013-12-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2013-12-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2013-12-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-01-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-01-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-01-29,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-02-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-02-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-03-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-03-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-03-19,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-04-04,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-04-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-04-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-05-02,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-05-08,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-06-05,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-06-06,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-06-18,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-07-03,nfp,US Non-Farm Payrolls -- shifted from the standard first-Friday date (2014-07-04) because that date is Independence Day; verified against bls.gov/news.release/archives/empsit_07032014.pdf
2014-07-10,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-07-30,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-08-01,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-08-07,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-09-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-09-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-09-17,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-10-03,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-10-09,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-10-29,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
2014-11-06,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-11-07,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-12-04,boe_mpc,"BoE Monetary Policy Committee scheduled rate decision -- announced 12:00 noon (2nd day of the meeting), verified against bankofengland.co.uk official press-release PDFs"
2014-12-05,nfp,"US Non-Farm Payrolls -- first Friday of month, 08:30 America/New_York (standard release convention)"
2014-12-17,fomc,"FOMC scheduled rate decision -- decision/statement day (2nd day of a 2-day meeting where applicable), 14:15 America/New_York; verified against federalreserve.gov/monetarypolicy/fomchistorical{year}.htm; unscheduled intermeeting conference calls excluded"
